,content,background,textcolor,font,label
494,آنلاین,black_background,default,ordibehesht,majazi
495,"اون رفیق  ««ویسگونیت»»  که خیلی دلت واسش تنگ شده رو تگش کن...✓🙃😇
دوست داشتی یه جمله هم بنویس براش....🙃✌️😇",black_background,white,ordibehesht,asheqane
496,وقتی نمیخوای قبول کنی همه چی تموم شده🙇,black_background,white,iransans,nasihat va sokhan
497,"پیش فروش بلیت قطارهای مسافری برای بازه زمانی یکم تا ۲۴ اسفند ماه از ساعت ۷ صبح روز (چهارشنبه) ۲۰ بهمن ماه سال جاری، در سراسر کشور آغاز می‌شود.
 هموطنان برای کسب اطلاعات بیشتر می‌توانند به صورت شبانه روزی با سامانه اطلاع رسانی راه آهن به شماره ۰۲۱۵۱۴۹ تماس بگیرند یا به پایگاه اینترنتی www.rai.ir مراجعه کنند.   پیش فروش بلیت قطارهای اسفند ماه از روز چهارشنبه",black_background,white,shabnam,tourist va amaken
498,"هرگز به کسی حسادت نکن!
بخاطر نعمتی که خدا به او داده
زیرا تو نمیدانی خداوند چه چیزی 
را از او گرفته است?
و غمگین مباش وقتی
 خداوند چیزی را از تو گرفت 
زیرا تو نمیدانی خداوند چه‌ چیزی را 
عوض آن به تو خواهد داد...
پس همیشه شاکر باش(:",darkblue_background,white,nastaliq,nasihat va sokhan
499,دلم از همه جا رفتن و کنار تو ماندن را می خواهد...,pattern_g,default,khodkar,asheqane
500,"باز با گریه به آغوش تو برمی گردم 
چون غریبی که خودش را برساند به وطن",pattern_e,default,suls,asheqane
501,"دستانت را دوست دارم
وقتی که مردانگیت را به رخ انگشتانم میکشی♡",default,white,rezvan,asheqane
502,"یکی از بهترین کارهای بچگونه  نیم بوت بسیار سبک و راحت با بهترین کیفیت
برند لوپیلو ( ساخت کشور آلمان)🇩🇪
100 درصد اورجینال  
سایز 32 ( کف داخلی پا = 20.5 سانت)
سایز 33 ( کف داخلی پا = 21 سانت)
  با قیمت باور نکردنی 430 تومن
( مگه داریم کار اورجینال اروپایی با همچین قیمتی 🙄🤔)",pattern_j,black,iphone,tablighat va business
503,محفل انس با قرآن کریم,pattern_j,red,suls,mazhabi
504,"دکتر پناهی ،معاون تحقیقات و فناوری وزیر بهداشت:
سینوفارم و پاستوکووک برای همه ایمن است و تا کنون مقدار واکسن تزریق شده برای کودکان عوارض چندانی نداشته است.

در برخی از کشورها قدرت واکسن هایی که برای کودکان تزریق می شود، در مقایسه با واکسنی که به بزرگسالان تزریق می شود، کمتر است.
   سینوفارم و پاستوکووک؛ دو واکسن ایمن برای کودکان زیر ۱۲ سال",black_background,white,ordibehesht,pezeshki
505,"پائولو کوئلیو کل احساس من رو تو چند خط توصیف کرده:
«وقتی احساس من شبیه احساس هیچکسی نیست، مطلقاً هیچکس نمی‌تواند بفهمد درونم چه می‌گذرد و این یعنی تنهايی!»",pattern_e,black,khodkar,nasihat va sokhan
506,"ثبت نام در کنکور سراسری سال ۱۴۰۱ از دهم بهمن آغاز شده است و فردا ۱۷ بهمن به پایان خواهد رسید.  

فهرست حذفیات منابع آزمون سراسری سال ۱۴۰۱ که از آن‌ها سوال طرح نخواهد شد، هم اکنون بر روی سايت سازمان سنجش قابل مشاهده است.   حذفیات کنکور سراسری ۱۴۰۱ اعلام شد",black_background,white,ordibehesht,dars va daneshgah
507,"آمریکا یک گام به برجام نزدیکتر شد/ دولت بایدن برخی معافیت‌های تحریمی ایران را بازگرداند

وزارت خارجه آمریکا اعلام کرد که این کشور برای تسهیل مذاکرات وین، تصمیم گرفته است برخی از معافیت‌ها تحریمی ایران را که دولت ترامپ لغو کرده بود، بازگرداند.  دیوار تحریم ها ترک خورد،یک قدم تا توافق",black_background,white,ordibehesht,siyasi
508,خریدار خودروهای فرسوده باری و سواری تصادفی با هر وضعیتی  ✅  با بالاترین قیمت   ✅ حمل رایگان  📲   آقای کاووسی  ۰۹۱۲۷۳۵۳۵۰۳,black_background,orange,rezvan,tablighat va business
509,شکست در اصالت بهتر از موفقیت در تقلید است.,default,default,default,angizeshi
510,"گروه موبایل آوادیس   پدر قهرمان زندگی من  فروش انواع گوشی تلفن همراه  وانواع لوازم جانبی   ✔️تخفیف عالی
✔️ فروش به صورت اقساط
✔️هدیه   تاریخ جشنواره از۱۶الی۲۶بهمن  آدرس: یزد آزادشهر بین فلکه اول و دوم جنب فروشگاه بابائی ۳۷۲۰۱۲۷۷_۰۹۱۳۱۵۷۳۴۸۹",yellow_background,white,titr,tablighat va business
511,سلام خدمت عزیزان ایا برای رزمایش دندان پزشکی برای کمک سلامت دهان و  دندان نیازمندان به کمک خییرین عزیز راجبه این طرح خواستم نظرتون جویا بشم ؟,default,default,default,pezeshki
512,"هوادار ۱ - ۲ استقلال

گل: رودی ژستد(P) و ارسلان مطهری برای استقلال/ محمدجواد محمدی برای هوادار

استقلال از دقیقه ۸۸ با اخراج سیاوش یزدانی، ۱۰ نفره شد.  استقلال با تعویض طلایی فاتح دربی آبی ها شد",black_background,blue,ordibehesht,varzeshi
513,شهادت جانسوز امام هادی علیه السلام تسلیت باد   دکتر حسنی    اگر تویی که کسی گم نمی شود  هادی,black_background,white,nastaliq,monasebat
514,آیا فعالیت شما شغل های زیر رنکینگ ۱۰ در لیست استوری قبل را شامل می‌شود؟,white_background,black,sahel,majazi
515,"سلام سلام  👋👋
چطوری رفیق💞
کجا رفتین امروز 😍😍",red_background,default,suls,greet
516,"با حضور ناظران و مسئولین ثبت رکورد های ورزشی ایران از فدراسیون ورزشهای همگانی دو ورزشکار هنرمند ساوجبلاغی توانستند با توپ تنیس و فوتبال رکورد ملی ثبت کنند.

 احمد حمدی ورزشکار ساوجبلاغی توانست رکورد سرعتی روپایی با توپ تنیس را در مسافت هزار متر در ۲۱ دقیقه و ۵ ثانیه ثبت کند و رکورددار این بخش باشد.

خلیل مهرزاد دیگر ورزشکار ساوجبلاغی که در سالهای گذشته رکورد پنج هزار متر هدزنی را به خود اختصاص داده بود و همچنین رکورد هد زنی هزار و ۶۹۳ پله برج میلاد را از آن خود کرده بود توانست در مسافت هزار متر در ۹ دقیقه و ۳۰ ثانیه و ۳۰ صدم ثانیه رکورد دار ایران شود.  دو ورزشکار ساوجبلاغی با توپ رکورد دار ایران شدند",black_background,white,ordibehesht,varzeshi
517,"در بین ارزهای جهان بولیوار ونزوئلا، ریال ایران و دونگ ویتنام به ترتیب کم ارزش‌ترین پول ها در جهان هستند.

جالب است که ارزش پول کشورهای همسایه ایران مانند عراق، پاکستان و یا حتی افغانستان تحت حاکمیت طالبان از ایران بیشتر است.
  ریال ایران؛ دومین پول بی‎ارزش در جهان",black_background,white,ordibehesht,eqtesadi
518,"امروز۴فوریه روز جهانی سرطان است. 
سالانه۱۴میلیون نفر در جهان به سرطان مبتلا می‌شوند که۸/۲میلیون به مرگ می‌انجامد.
در اين ايفوگرافى عوامل مؤثر در سرطان و مواد غذایی برای پیشگیری را بخوانید",black_background,white,default,pezeshki
519,تفاوت بین معلمان اثربخش تر و معلمانی که اثربخشی کمتری دارند در دانسته های آن ها نیست  بلکه در کارهاییست که انجام می دهند...,pattern_b,yellow,suls,nasihat va sokhan
520,"با افزایش مبتلایان به کووید ۱۹ و همچنین تعداد مراجعین به مراکز منتخب بهداشتی، دکتر مستوفی در جمع مدیران گروه معاونت بهداشت، ضمن اعلام آماده باش به کلیه همکاران حوزه بهداشت بر اقدامات زیر تاکید نمود:
 لغو کلیه مرخصی های استحقاقی کارکنان و آماده باش کلیه مراکز خدمات جامع سلامت، پایگاه های سلامت و خانه های بهداشت 

 استفاده از ظرفیت حداکثری مراکز بهداشت استان به منظور تسریع روند واکسیناسیون شهروندان 
 تشدید بازرسی ها و نظارت بر رعایت شیوه نامه های بهداشتی توسط بازرسان بهداشت و برخورد قانونی با متخلفان

 نظارت و پایش مستمر بر نحوه ارائه خدمات در کلیه واحدهای بهداشتی به خصوص پایگاه های تجمیعی واکسیناسیون و مراکز منتخب، سرلوحه کار مدیران و کارشناسان ستاد مراکز بهداشت قرار گیرد.  آماده باش کلیه مراکز بهداشت استان البرز",black_background,white,ordibehesht,pezeshki
521,"بوی گل سوسن و یاسمن آید
            عطر بهاران کنون از وطن آید
جان ز تن رفتگان سوی تن آمد
            رهبر محبوب خلق از سفر آمد
دیو چو بیرون رود فرشته در آید
             بگذرد این روزگار تلخ تر از تلخ
بار دگر روزگار چون شکر آید",default,darkblue,dastnevis,sher va adabiyat
522,"مقایسه دختر بچه ها و پسر بچه ها با هم ممنوع!!
معمولا دختربچه‌ها زود‌تر از پسربچه‌ها راه می‌افتند!
دخترهازودتر میتوانند تحریکات روده‌ای و مثانه خود را کنترل کنند.
دختر بچه ها اجتماعی‌ترند و در سال اول تولد بیشتر با اطرافیان رابطه برقرار میکنند و رفتار دوستانه‌تر و آرام‌تری دارند! بیشتر تعارف میکنند.
توانایی کلامی دختران بسیار بالا‌ترست. 
شنوایی دختران قوی‌ترست.
دختربچه ها تمایل بیشتری هم به حرف زدن نشان میدهند. معمولا آنچه برای‌شان اتفاق افتاده را به هر نوعی که شده برای‌تان تعریف می‌کنند، اما پسر‌ها ترجیح می‌دهند زیاد حرف نزنند.
پرحرفی و عشق به جزئیات در ذات و فیزیولوژی مغز دختر است و تلفن و موبایل از اسباب بازی های محبوب دخترست. 
پسر بچه ها پاسخ‌های‌شان1یا2 کلمه‌ای و در حدیست که اصل قضیه را برساند. 
حسین نیکو.  مشاور کودک و نوجوانch. c",base_background_gc,white,default,ejtemayi
523,"حتما مطالعه کنید، دانلود از کانال تلگرام 
👇",white_background,black,sahel,majazi
524,سرپرست دانشگاه علوم پزشکی استان البرز اعلام کرد: در ۲۴ ساعت گذشته ۲ بیمار کووید ۱۹ جان خود را از دست داده است و مجموع جان باختگان این بیماری در استان به ۶۵۱۰ نفر رسیده است.  آخرین وضعیت کرونا در استان البرز؛ ۱۴ بهمن,black_background,yellow,ordibehesht,pezeshki
525,مطابق با قانون نحوه اجرای محکومیت‌های مالی، زن با استناد به اینکه خواهان وصول مهریه خود است قادر به توقیف تمام اموال و دارایی شوهر اعم از منزل مسکونی، خط تلفن و اثاثیه زندگی (اموالی در حد عرف، نیاز و شان مرد) نیست و قانون برای پشتیبانی از بدهکاران مالی از جمله مردان بدهکار مهریه، استثنائاتی را برای اموال قابل توقیف قرار داده و امکان توقیف برخی اموال نظیر خودرو را به صورت مشروط فراهم کرده است.  «خودرو» و «خط موبایل» شوهر برای وصول «مهریه» توقیف می‌شود؟,black_background,white,ordibehesht,ejtemayi
526,✍️ماه رجب فصل روییدن جوانه‌های عاشقانه زیستن و ماه شستشوی دل و جان از زنگارهای گناه و غفلت و آماده شدن برای ورود به ماه ضیافت الله و ميلاد مسعود امام محمد باقر علیه السلام مبارکباد.  ارادتمند دکتر حسنی   این الرجبیون,white_background,darkblue,nastaliq,mazhabi
527,"ما توی بازی زندگی 
هیچ وقت دنبال جفت شیش نبودیم
هر عددی اومد بهترین بازیمونو کردیم
چون به تلاش بیشتر از شانس اعتقاد داریم
ما همونیم که خیلیا...
 با جفت شیش ام !
بهمون باخت دادن !",black_background,white,iphone,nasihat va sokhan
528,تخفیف ویژه بمناسبت دهه فجر,black_background,yellow,afsaneh,tablighat va business
529,"""به جای تهدید فرزندانمان از این روش استفاده کنیم""
اصل اساسی این است که؛ به جای تهدید فرزندتان نتیجه عملش را به او نشان دهید. یعنی وافع بینی و قاطعیت!
مثلا بگویید:عزیزم بخواب عصری میریم پارک. اگر نمیخوابد عصر به پارک نروید
بگویید:عزیزم ببین نخوابیدی،چون نخوابیدی نمیریم پارک ولی بجاش بیا نقاشی بکشیم یک جایگزین پیدا کنید نه اینکه با خشونت به او بگویید؛ 
چشمت کور
گفتم بخواب نخوابیدی،
حالا هم پارک نمیریم تا دنده ت نرم شه
تا بفهمی که باید حرف گوش بدی 
با جدیت به شما میگم؛ این روش تربیتی و این حرف ها درست نیست.
شما از چه روشی استفاده می کنید؟؟؟",white_background,black,pooya,ejtemayi
530,همین یک لحظه را دریاب   که فردا قصه اش فرداست,default,black,nastaliq,nasihat va sokhan
531,"""من را کتک زدید، به من بی توجهی کردید، پس من را دوست ندارید و من بی ارزشم""!!! 
کودک نمی تواند بین رفتار و احساس پدر و مادرش تفاوتی بگذارد، او نمی تواند درک کند که اگر پدر یا مادرم من را کتک زد دلیل بر این نبود که من را دوست نداشت بلکه آنقدر درد و مشکلات درونی داشت که بخشی از آنها را روی من ریخت. 
وقتی تصورات کودک از پدر و مادرش تغییر می کند و واقعیت را می بیند، چشمه محبت عمیقی در درون می یابد که در پشت تصورِ کودکانه از پدر و مادری که بی رحم و نامهربان تلقی می شدند، می جوشد. 
کودک در چنین هنگامی، پدر و مادری را خواهد دید که او را دوست داشتند ولی بدلیل آسیبها و مشکلاتشان ناخواسته به او آسیب زدند و رفتار نادرستشان دلیل بر داشتن احساس منفی به او نبود.",base_background_ge,white,pooya,ejtemayi
532,"دو هکر مظنون در نوامبر ۲۰۲۱ به نقش داشتن در یک کارزار ایمیلی که مردم را تشویق به انتخاب مجدد دونالد ترامپ می‌کرد، متهم شدند.

آمریکا برای دریافت اطلاعات دو هکر ایرانی (سید محمدحسین موسی کاظمی و سجاد کاشیان) پاداش ۱۰ میلیون دلاری در نظر گرفت.  پاداش ۱۰ میلیون دلاری آمریکا برای دو هکر ایرانی",black_background,white,default,siyasi
533,پست و استوری ۲۴ ساعته  ۶۰۰۰۰ تومان,black_background,white,rezvan,tablighat va business
534,"مهدی طارمی ستاره تیم ملی کشورمان در بازی شب گذشته مقابل امارات گل پیروزی بخش را به ثمر رساند و در بازی قبل تر مقابل عراق نیز همین کار را کرده بود.

ستاره پورتو تعداد گل های خود در این رقابت ها به عدد ۴ رساند تا صدرنشین بهترین گلزنان مسابقات انتخابی جام جهانی ۲۰۲۲ شود.علیرضا جهانبخش کاپیتان تیم ملی کشورمان با به ثمر رساندن ۳ گل در رده پنجم رده بندی بهترین گلزنان ایستاد.
  طارمی‌بهترین گلزن مسابقات انتخابی جام جهانی",black_background,white,ordibehesht,varzeshi
535,"در قدیم مرد سالاری بود، الان مردسالاری را تغییر داده ایم شده است فرزند سالاری!
کدام بهتر است؟
الان که فرزند سالار شده ایم، دختری که تربیت میکنیم میشود زن سالار 20 سال دیگه. و پسری که تربیت میکنیم میشود مرد سالار آینده!
وقتی این مردسالار و زن سالارهای ما با یکدیگر ازدواج میکنند چه میشود؟ دو سالار در یک خانه نمی گنجند؛ پس تضاد،تعارض و اختلاف گسترده شده و آمار طلاق بشدت بالا می رود.
فرزند سالاری بسیار خطرناکتر از مرد سالاری است.
حسین نیکو. مشاور کودک و نوجوان ch. c",pattern_n,black,nastaliq,ejtemayi
536,"سلام عشقاا 
چطورین 
ظهرتون بخیر
چخبراا",base_background_gh,default,suls,greet
537,"۹۰ درصد جمعیت هدف کشور یک دز، حدود ۸۱ درصد ۲ دز و ۲۵ درصد نیز دز سوم واکسن علیه کرونا را تزریق کردند.

در حال حاضر ۹۷ درصد از داروی مورد نیاز ایران در داخل تولید می شود.

با تسریع و گسترش پوشش واکسیناسیون در ماه های اخیر، میزان مرگ و میر بیماران کرونایی در ایران علیرغم وسعت درگیری با اُمیکرون در کشور و ایجاد موج ششم بیماری اما روزانه بین ۲۰ تا ۳۰ نفر است.  وزیر بهداشت: ۹۰ درصد جمعیت هدف کشور یک دز واکسن علیه کرونا را تزریق کردند",black_background,white,default,pezeshki
538,به گفته کارشناسان هندی، بهترین ماسک برای پیشگیری از ابتلا به سویه اُمیکرون ماسک N-۹۹ است. هرچند این ماسک ها ضخیمتر از حد معمول هستند و استفاده از آنها برای مدت طولانی دشوار است، بنابراین معمولا از ماسک های N-۹۵ استفاده می شود و محافظت خوبی ارائه می دهند.  بهترین نوع ماسک برای مصون ماندن از اُمیکرون,black_background,white,default,pezeshki
539,"آسان ببخش، صادقانه عشق بورز، راحت بخند، به آرامی ببوس و هرگز از چیزی که لبخند بر لب هات نشانده، احساس پشیمانی نکن
📘آدری هپبورن یک روح زیبا
✍🏻شان هپبورن
روز تون پر از انرژی",base_background_gc,white,nastaliq,nasihat va sokhan
540,"دو نکته ی مدادی:(لطفا جدی بگیرید) 
برای کودکان مداد پاک کن دار نخرید! فتالاتس‌ها موادسمی و خطرناکی هستند که در پاک کن مدادها وجود دارد و در صورت ترکیب با بزاق دهان باعث مشکلات زیادی در کودک میشود! کودکان ته مداد را گاز میگیرند و ممکن است پاک کن را قورت بدهند در تکمیل این حرف باید بگویم دفع یک تکه کوچک از پاک کن معمولا 5 تا 10 روز طول می‌کشد! یعنی حدود 10روز بعد از قورت دادن پاک کن بدن موفق به دفع آن میشود!!!
در بعضی مدادها به خصوص مدادهای رنگی و مدادهای شمعی که کودکان با آن نقاشی می‌کنند، در رنگ‌های سبز و قرمز آنها معمولا از فلزات سنگین مانند سرب یا کادمیوم استفاده میشود. این مواد در طولانی‌مدت از راه پوست دست بچه‌ها جذب میشوند و مسمومیت  ایجاد میکنند. حتی برخی از آبرنگ‌ها اگر طولانی مدت در دست بچه‌ها باشند این مسمومیت را ایجاد میکنند! 
تاکید کنید بعد از استفاده دستهایشان را بشورند.",base_background_gf,white,nastaliq,ejtemayi
541,"اگه نقاشی بچت قشنگ نبود بهش نگو آفرین عالیه
اجازه بده که خودش برات توضیح بده که توی نقاشیش چی کشیده شما زبان کودک نباش..‌
ازش در مورد جزئیاتی که کشیده سوال کن و از کلماتی مثل چه جالب استفاده کن..‌. این رفتار شما روی عزت نفس و اعتماد به نفس کودک تون اثر مثبت داره
هر تعریف واقعی شما مثل ( انداختن سکه درون قلک)
و وقتی کودکتون بزرگ شد از سکه های درون قلک برای ساختن زندگیش استفاده میکنه
نقاشی های قشنگ کودکت روجمع کن توی اتاقش یه نمایشگاه نقاشی دایر کن و بعد ازخانوادتون مثل مادر بزرگ،خاله وعمه کودک بخواه تانمایشگاه رو ببینن اینجوری به او اعتماد بنفس و عزت نفس دادی",base_background_ge,white,iphone,ejtemayi
542,"با اعلام باشگاه فنرباغچه ترکیه اللهیار صیادمنش تا پایان فصل به هال سیتی انگلیس پیوست.
قرارداد مهاجم ایرانی با این تیم انگلیسی به صورت قرضی و تا پایان فصل است.
هال سیتی در لیگ دسته اول انگلیس (چمپیون شیپ) در رتبه نوزدهم در جدول بیست و چهار تیمی این لیگ قرار دارد.  اللهیار صیادمنش به تیم هالی سیتی پیوست",black_background,white,default,varzeshi
543,مرزهای ما ایدئولوژیک هست نه نژادی ...,white_background,black,ordibehesht,siyasi
544,کسانی که هوش هیجانی بالایی دارند، موفق‌تر هستند؛ در حالی که ما در تعلیم و تربیت‌مان فقط داریم روی آی‌کیو کار می کنیم.  متن شما...  متن شما...  کسانی که هوش هیجانی بالایی دارند، موفق‌تر هستند؛ در حالی که ما در تعلیم و تربیت‌مان فقط داریم روی      I Q کار می کنیم.,pattern_b,purple,suls,ejtemayi
545,"هیچ دلتنگی تاثیرگذار تر از دلتنگی انسان برای دوران کودکیش نیست.
بگذارید کودکان، با هیجان خود کودکی کنند. 
کاری نکنید کودکان دوران کودکیشان را گم کنند که هیچگاه شما را نخواهند بخشید. 
گاهی من و شما سخت دلمون برای دوران کودکی خودمون تنگ می گردد.. 
می دونید چرا؟؟؟؟!!!",base_background_gc,white,nastaliq,ejtemayi
546,"گروه 
موبایل
آوایس  فروش ویژه روز پدر و روز عشق
باقیمت عالی و تسویه اقساط به صورت دلخواه  انواع گوشی تلفن همراه حتی آیفون
فروش انواع اسپیکر بزرگ وکوچیک
فروش انواع هدست بلوتوث
فروش انواع پاور بانک
و....  از 12الی26بهمن   آدرس یزد آزادشهر بین فلکه 
اول و دوم جنب فروشگاه بابائی
 37201277",white_background,black,iphone,tablighat va business
547,خبرگزاری تسنیم : رامین رضاییان اگر بتواند امروز قراردادش را با الدحیل فسخ کند، برای مذاکرات نهایی با مدیران پرسپولیس راهی ایران می شود. البته مبلغ بالای قرارداد رضاییان با الدحیل شاید مانع از فسخ قرارداد شود و یا الدحیل تصمیم بگیرد او را به یک تیم دیگر دوباره قرض دهد.   ورق بزنید   ARSPER.FANS,red_background,white,shabnam,varzeshi
548,رسانه های داخلی : با حضور شهاب گردان در فولاد و همچنین احتمال جذب رشید مظاهری از استقلال، برخی از رسانه های داخلی از جدایی احسان مرادیان از جمع فولادی ها خبر دادند. گفته می شود یحیی گل محمدی قصد دارد مرادیان را به عنوان رقیب حامد لک برای حضور در چهار چوب پرسپولیس به جمع شاگردانش اضافه کند.   ورق بزنید   ARSPER.FANS,red_background,white,shabnam,varzeshi
549,رسانه های داخلی : در لیستی که برای نقل و انتقالات زمستانی از سوی گل محمدی به مدیران پرسپولیس داده شده است نام امید نورافکن نیز وجود دارد. نورافکن در دیدار های گذشته تیم ملی به میدان رفته و از مهره های اصلی و تاثیر گذار نویدکیا در سپاهان می آید و جذب او برای سرخوپوشان سخت به نظر می آید.   ورق بزنید   ARSPER.FANS,red_background,white,shabnam,varzeshi
550,جدیدترین شایعات و نقل و انتقالات ...  #پرسپولیس  ARSPER.FANS  ورق بزنید,red_background,white,shabnam,varzeshi
551,"سلام عشقاا چطورین 
صبح مایل به ظهرتون بخیر 
😍😍😍",pattern_j,default,suls,greet
552,"صفحه رسمی اینستاگرام بوندس لیگا با انتشار تصویری از سردار آزمون مهاجم ایرانی با پیراهن بایرلورکوزن از مهاجم ایرانی استقبال کرد.

سردار آزمون امروز رسما از زنیت جدا شد تا در ادامه فصل برای بایرلورکوزن آلمان در بوندس لیگا به میدان برود.  استقبال صفحه رسمی بوندسلیگا از سردار آزمون",black_background,white,shabnam,varzeshi
553,"هوش هیجانی
(Emotional   intelligence)",pattern_d,red,ordibehesht,ejtemayi
554,"هنر را در آغوش بگیر
یقینا بهترین دوستت خواهد شد",default,black,default,honar
555,با تمام وجودم امیدوارم نقاشی کردن در بهشت نیز وجود داشته باشد,default,default,default,honar
556,زنیت و بایرلورکوزن برای انتقال مهاجم ایرانی به این باشگاه آلمانی در نقل‌وانتقالات زمستانی به توافق رسیدند و آزمون رسما می تواند در ادامه این فصل در بوندس لیگا بازی کند.  سردار آزمون رسما  از تیم  زنیت  جدا  شد,black_background,orange,ordibehesht,varzeshi
557,"انسیه خزعلی، در پاسخ به این سوال که یکی از موضوعاتی که در حوزه زنان به عنوان آسیب مطرح می‌شود بحث صیغه است، آیا معاونت زنان امکان ورود به این موضوع را دارد و آیا برنامه‌ای برای حل این معضل دارید؟ گفت: بررسی یک سری از آسیب‌ها که از طریق سوءاستفاده از قوانین متوجه خانواده است از برنامه‌های ما است.
معاون زنان و خانواده ریاست جمهوری درباره چند همسری و تبلیغاتی که در این زمینه در فضای مجازی می‌شود، اظهار کرد: چند همسری از نظر  قانون در صورتی که رضایت همسر وجود داشته باشد مجوز دارد.  معاون رئیس جمهور: چند همسری درصورت رضایت همسر مجوز قانونی دارد",black_background,white,default,ejtemayi
558,ARSPER.FANS  پیج هواداران پرسپولیس و آرسنال 👇  اگه طرفدار پرسپولیس یا آرسنال هستی جات تو این پیجه 👆  محل تگ پیج,red_background,white,sahel,varzeshi
559,"متن شما...  همیشه یادت باشه 
یکی دایما داره کارات رو می بینه 
            و او کسی نیست جز خدا...",pattern_a,yellow,dastnevis,nasihat va sokhan
560,"ثبت نام در کنکور سراسری سال ۱۴۰۱ از امروز آغاز و تا ۱۷ بهمن ادامه دارد.

متقاضیان می توانند با مراجعه به سایت سازمان سنجش به نشانی http://www.sanjesh.org ثبت نام کنند.

  آغاز ثبت نام کنکور سراسری ۱۴۰۱",black_background,white,ordibehesht,dars va daneshgah
561,"سخنگوی ستاد مقابله با کرونای دانشگاه علوم پزشکی استان البرز با بیان اینکه ، مبتلایان به کرونا در البرز روند صعودی دارد ، گفته : موضوع اعمال محدودیت در ستاد کرونا در حال بررسی است ، و هنوز به نتیجه نرسیده است ؛ اما با توجه به شرایط صعودی کرونا ، احتمال اعمال محدودیت های جدیدی در استان وجود دارد.
  اصناف استان البرز آماده تعطیلی کرونایی باشند؟",black_background,orange,ordibehesht,pezeshki
562,"*رفیق درمانی...با یاران قدیمی*

*یك روش درمانی هست به اسم رفیق تراپی!*

 توی اوج خستگی و دلتنگی هم كه اگر باشی، فقط کافیه بشینی کنارش، هنوز حرف نزده همه خستگیت می پره! 
یک سری رفقا رو باید توی دسته داروهای آرامبخش دسته بندی کرد. 
*اصلاً ویتامین هستند*
 اگر نباشند حالت خوب نیست، 
یك جایی نوشته بود انسان های هم فرکانس همدیگر رو از فاصله های دور پیدا می کنند، توی یك مدار قرار می گیرند و بالاخره به هم می رسند و اون وقت می شوند همدم، می شوند مونس، می شوند رفیق، اصلاً می شوند هم شکل و قيافه خودت...! 
و عاقبت هم یك چیزی هست، که همیشه از اين رفقا توی قلب آدم می مونه و آن هم خاطره روزهای خوبیه که با اون ها خيلى خوب گذشت، خيلى...!😍

*سایه رفقای با مرام و دوست داشتنى مستدام...!*
این متن زیبا رو بفرست برا بهترین رفیق هات

   ‎‌‌‌‌‌‎‌‎‌‌‌‌‌‎‌ ‎‌─┅═༅𖣔❤️𖣔༅═┅─  @mahmood_salehfar",pattern_j,red,dastnevis,nasihat va sokhan
563,"غلامرضا نوری قزلچه، نماینده بستان آباد:

تغییر رفتار برخی آقایان نشان می دهد که مخالفتشان با مذاکرات برجام، یک سازماندهی سیاسی بیش نبود.

اگر مذاکره ما با آمریکا بدون واسطه برخی کشورها نظیر چین و روسیه باشد به نتایج بهتری میرسیم؛ چراکه واسطه ها در ابتدا منافع خودشان را در نظر می گیرند.
  باید دنبال مذاکره مستقیم باشیم؛ واسطه‌ها به فکر منافع خودشان هستند",black_background,white,shabnam,siyasi
564,"طبرسی: تعداد مبتلایان به اُمیکرون، خیلی بیشتر از آمار اعلامی روزانه است. هفته گذشته را با ۵ هزار مبتلای روزانه شروع کردیم و با ۱۶ هزار نفر تمام کردیم.

 درصد مرگ‌و‌میر اُمیکرون به نسبت به دلتا خیلی پایین‌تر است اما تعداد فوتی بخاطر افزایش زیاد آمار مبتلایان افزایش پیدا خواهد کرد.
  طوفان اومیکرون در کشور،زنگ خطر به صدا در آمد",black_background,white,ordibehesht,pezeshki
565,"طبق گفته وزیر اقتصاد اعطای وام زیر ۱۰۰ میلیون تومان بدون اخذ ضامن از امروز آغاز خواهد شد.

دریافت تسهیلات تا ۵۰ میلیون تومان بدون ضامن و فقط با نامه کسر از حقوق امکان پذیر است. برای تسهیلات بین ۵۰ تا ۱۰۰ میلیون تومان نیز افراد می‌توانند مجددا بدون ضامن و تنها با نامه کسر از حقوق خود به همراه یک سفته یا چک به بانک‌ها مراجعه کنند.  اعطای وام بدون ضامن آغاز می‌شود",black_background,white,ordibehesht,eqtesadi
566,"جعفر قادری، عضو کمیسیون برنامه و بودجه مجلس:
 
مبلغ یارانه جدید ١١٠ هزار تومان به ازای هر نفر است؛ یک خانواده ۴ نفره ۴۴٠ هزار تومان دریافت می‌کند. 

با حذف ارز ترجیحی قرار بر حذف یارانه معیشتی و نقدی نیست؛ بنابراین با یارانه‌های نقدی و معیشتی و نیز یارانه جدید ١١٠ هزار تومانی، یک خانواده ۴نفره چیزی حدود ٨٠٠ هزار تومان یارانه دریافت خواهند کرد.

   مبلغ یارانه جدید مشخص شد/ چه کسانی ماهی ٨٠٠ هزار تومان یارانه می‌گیرند؟",black_background,white,shabnam,eqtesadi
567,پیری آن نیست که بر سر بزند موی سپید   هر جوانی که به دل عشق ندارد پیر است,default,black,nastaliq,nasihat va sokhan
